comet_id,comet_name,apparition_id,apparition_year,perihelion_date,peak_mag_n,predicted,event_case,competing_min_mag,solo_at_mag6,solo_at_mag8
7P,7P/Pons-Winnecke,7P_1915,1915,1915-09-02,6.831713535473128,True,expected_seen,2.445877199446392,False,False
7P,7P/Pons-Winnecke,7P_1909,1909,1909-10-09,7.62751932449961,True,expected_seen,-3.770183864478436,False,False
7P,7P/Pons-Winnecke,7P_1898,1898,1898-03-20,7.1794044052089445,True,expected_seen,4.052215290428391,False,False
7P,7P/Pons-Winnecke,7P_1892,1892,1892-07-01,1.777690971154502,True,expected_seen,3.448201416467985,False,False
7P,7P/Pons-Winnecke,7P_1886,1886,1886-09-04,6.264172770501332,True,expected_seen,-12.381552605466096,False,False
7P,7P/Pons-Winnecke,7P_1875,1875,1875-03-12,6.76794678289823,True,expected_seen,3.340965890207868,False,False
7P,7P/Pons-Winnecke,7P_1869,1869,1869-06-30,2.6009768086864176,True,expected_seen,7.000013595643592,True,False
7P,7P/Pons-Winnecke,7P_1858,1858,1858-05-02,5.004963142321014,False,unexpected_seen,-0.1851114415708261,False,False
8P,8P/Tuttle,8P_1939,1939,1939-11-10,7.949243808230415,True,expected_seen,2.3960866007038835,False,False
8P,8P/Tuttle,8P_1926,1926,1926-04-28,9.045237822810806,True,expected_seen,4.882906594842448,False,False
8P,8P/Tuttle,8P_1912,1912,1912-10-28,8.310959209435385,True,expected_seen,4.7749950637909375,False,False
8P,8P/Tuttle,8P_1899,1899,1899-05-04,9.027390757421836,True,expected_seen,1.056122529579568,False,False
8P,8P/Tuttle,8P_1885,1885,1885-09-11,9.06734679236306,True,expected_seen,3.72681158074798,False,False
8P,8P/Tuttle,8P_1871,1871,1871-12-02,7.139145832305496,True,expected_seen,3.493969838847017,False,False
8P,8P/Tuttle,8P_1858,1858,1858-02-24,7.558486700357091,False,unexpected_seen,2.9671943504121887,False,False
9P,9P/Tempel 1,9P_1879,1879,1879-05-07,11.933997848317858,True,expected_seen,5.416691744133011,False,False
9P,9P/Tempel 1,9P_1873,1873,1873-05-10,11.913506146018667,True,expected_seen,1.6696155411496516,False,False
9P,9P/Tempel 1,9P_1867,1867,1867-05-24,10.715545991892943,False,unexpected_seen,11.014282650443675,True,True
10P,10P/Tempel 2,10P_1930,1930,1930-10-05,10.780955813108648,True,expected_seen,6.048433406517827,True,False
10P,10P/Tempel 2,10P_1925,1925,1925-08-07,7.8260387698114755,True,expected_seen,6.071573992312432,True,False
10P,10P/Tempel 2,10P_1920,1920,1920-06-10,10.208318757046662,True,expected_seen,6.588580900851901,True,False
10P,10P/Tempel 2,10P_1915,1915,1915-04-14,11.608372142106456,True,expected_seen,2.445877199446392,False,False
10P,10P/Tempel 2,10P_1904,1904,1904-11-10,11.846323865176998,True,expected_seen,3.3735436442197706,False,False
10P,10P/Tempel 2,10P_1899,1899,1899-07-29,8.393623223013657,True,expected_seen,1.056122529579568,False,False
10P,10P/Tempel 2,10P_1894,1894,1894-04-23,11.567185053191958,True,expected_seen,4.343647967120743,False,False
10P,10P/Tempel 2,10P_1878,1878,1878-09-07,9.90240096859154,True,expected_seen,4.497479718825105,False,False
10P,10P/Tempel 2,10P_1873,1873,1873-06-25,9.574268008661232,False,unexpected_seen,1.6696155411496516,False,False
11P,11P/Tempel-Swift-LINEAR,11P_1908,1908,1908-10-05,13.204678466976516,True,expected_seen,3.6321220831164513,False,False
11P,11P/Tempel-Swift-LINEAR,11P_1891,1891,1891-11-17,10.895403685453552,True,expected_seen,3.448201416467985,False,False
