apparition_id,comet_id,comet_name,designation,apparition_year,perihelion_date,discovery_date,raw_status_source,raw_aerith_status,expected,seen,event_case,status_mapping_confidence,status_notes,manual_review_status,sbdb_pdes,merged_fragments,window_start,window_end,window_extended,window_extension_reason,magnitude_provenance,manual_curated_source_citation,failed_horizons_match,failed_light_curve,missing_magnitude_model,missing_perihelion_date,no_light_curve_window,audit_notes,magnitude_quality,sbdb_M1,sbdb_K1,sbdb_M2_present,sbdb_K2_present,manual_sbdb_conflict,sbdb_nuclear_biased,peak_mag,date_peak_mag,days_mag_le_6,integrated_mag6_excess,spectacle_mag6_excess,peak_flux_proxy,integrated_flux_proxy,integrated_visible_relative_flux_mag6,spectacle_visible_relative_flux_mag6,main_sample_candidate,exclude_from_main_sample,exclusion_reason
2P_1898,2P,2P/Encke,2P,1898,1898-05-27,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1897-11-28,1898-11-23,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,4.052215290428391,1898-05-30,55,55.67898053737742,73.9947483423993,0.023939434312027736,0.7009356496342165,160.26537114242544,599.3003660035123,True,False,
2P_1895,2P,2P/Encke,2P,1895,1895-02-05,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1894-08-09,1895-08-04,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,3.15430492441038,1895-02-04,37,60.6944829275416,130.20478761336156,0.054736626821917246,0.9758288745985434,228.28434302765373,2106.8199859807905,True,False,
2P_1891,2P,2P/Encke,2P,1891,1891-10-18,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1891-04-21,1892-04-15,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,4.495610830795896,1891-10-17,28,25.17897844813841,29.03934049871006,0.015913132087945193,0.34676515365943245,70.17075933456273,203.91823643655664,True,False,
2P_1888,2P,2P/Encke,2P,1888,1888-06-28,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1887-12-31,1888-12-25,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,4.447054675503165,1888-06-30,31,28.08977275009527,33.17013949926386,0.01664095054008778,0.3871157607834413,78.8501377475005,235.8602929100939,True,False,
2P_1885,2P,2P/Encke,2P,1885,1885-03-08,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1884-09-09,1885-09-04,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,3.1271521336448433,1885-03-09,36,59.00347654660368,127.51881599944542,0.05612277627825536,0.9550233609306358,224.0560863088473,2107.614030625065,True,False,
2P_1881,2P,2P/Encke,2P,1881,1881-11-15,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1881-05-19,1882-05-14,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,4.260480261197165,NaT,37,36.12501088147083,46.987479126620215,0.01976095346851751,0.4863365767388266,103.20947337422658,353.51404587156276,True,False,
2P_1878,2P,2P/Encke,2P,1878,1878-07-26,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1878-01-27,1879-01-22,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,4.497479718825105,1878-07-28,26,24.072379237035666,27.800418957175935,0.01588576422375998,0.33167902091171647,66.34770575461135,194.44086480795482,True,False,
2P_1875,2P,2P/Encke,2P,1875,1875-04-13,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1874-10-15,1875-10-10,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,3.340965890207868,1875-04-16,40,61.25562086330918,122.40399185193019,0.04609073607479382,0.9316676310566255,214.75488151155548,1664.111395695049,True,False,
2P_1871,2P,2P/Encke,2P,1871,1871-12-29,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1871-07-02,1872-06-26,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,3.4939698388470175,1871-12-27,52,70.52384715241308,127.87633304797706,0.04003244028146907,1.0046344363261912,231.93022346689204,1493.0493919137812,True,False,
2P_1868,2P,2P/Encke,2P,1868,1868-09-15,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1868-03-19,1869-03-14,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,4.55159172625644,1868-09-15,25,22.169436209662983,24.767381007245763,0.015113439418146237,0.30769054023439174,61.33973551184361,171.88268617221814,True,False,
