comet_id,comet_name,apparition_id,apparition_year,perihelion_date,peak_mag_n,predicted,event_case,max_salience,peak_month_offset,integ_above_p75,lead_time_p75,lead_time_p90,preperi_max
5D,5D/Brorsen,5D_1873,1873,1873-10-10,6.11256001825253,True,expected_seen,0.2352941176470588,3,0.1731712208826014,1.0,,0.1176470588235294
5D,5D/Brorsen,5D_1868,1868,1868-04-17,6.1018270931032665,True,expected_seen,0.3076923076923077,-4,0.17107793522267223,-5.0,-4.0,0.3076923076923077
5D,5D/Brorsen,5D_1857,1857,1857-03-29,5.903110064455884,True,expected_seen,0.9047619047619048,1,2.6631771151148866,0.0,0.0,0.1428571428571428
6P,6P/d'Arrest,6P_1923,1923,1923-09-15,9.457423358245151,True,expected_seen,0.1363636363636363,-3,0.0,,,0.1363636363636363
6P,6P/d'Arrest,6P_1910,1910,1910-09-16,9.003367234852554,True,expected_seen,0.8865295288652952,-4,2.2467338840022184,-5.0,-5.0,0.8865295288652952
6P,6P/d'Arrest,6P_1897,1897,1897-05-23,10.850535937613133,True,expected_seen,0.1693548387096774,-3,0.0010476524748596616,-3.0,,0.1693548387096774
6P,6P/d'Arrest,6P_1890,1890,1890-09-18,9.390954384707708,True,expected_seen,0.1034482758620689,-2,0.0,,,0.1034482758620689
6P,6P/d'Arrest,6P_1877,1877,1877-05-10,11.073426950581704,True,expected_seen,0.3548387096774194,1,0.2182243372077839,-1.0,1.0,0.2
6P,6P/d'Arrest,6P_1870,1870,1870-09-23,9.469672732691292,True,expected_seen,0.1666666666666666,-5,0.0,,,0.1666666666666666
6P,6P/d'Arrest,6P_1857,1857,1857-11-28,10.626285703021836,True,expected_seen,0.5769230769230769,-5,2.240339171062856,-5.0,-5.0,0.5769230769230769
6P,6P/d'Arrest,6P_1851,1851,1851-07-09,8.740543162705128,False,unexpected_seen,0.35,-2,0.6490437789708388,-5.0,-5.0,0.35
7P,7P/Pons-Winnecke,7P_1939,1939,1939-06-22,2.3960866007038835,True,expected_seen,0.1875,-2,0.019192813765182254,-2.0,,0.1875
7P,7P/Pons-Winnecke,7P_1933,1933,1933-05-18,5.891634236349665,True,expected_seen,0.3333333333333333,-3,0.21342919623166737,-4.0,-3.0,0.3333333333333333
7P,7P/Pons-Winnecke,7P_1927,1927,1927-06-21,-0.0412961303320338,True,expected_seen,0.4285714285714285,0,0.35744777927464055,-1.0,0.0,0.2195121951219512
7P,7P/Pons-Winnecke,7P_1921,1921,1921-06-13,2.723008052792028,True,expected_seen,0.5,0,0.3869976332147387,-1.0,0.0,0.2
7P,7P/Pons-Winnecke,7P_1915,1915,1915-09-02,6.831713535473128,True,expected_seen,0.328125,0,0.20559281186192435,0.0,0.0,0.1176470588235294
7P,7P/Pons-Winnecke,7P_1909,1909,1909-10-09,7.62751932449961,True,expected_seen,0.8207024029574861,6,2.834996520686974,-1.0,0.0,0.1743119266055046
7P,7P/Pons-Winnecke,7P_1898,1898,1898-03-20,7.1794044052089445,True,expected_seen,0.25,3,0.08169281376518225,3.0,,0.1489361702127659
7P,7P/Pons-Winnecke,7P_1892,1892,1892-07-01,1.777690971154502,True,expected_seen,0.644927536231884,4,0.5480391911595087,4.0,4.0,0.134453781512605
7P,7P/Pons-Winnecke,7P_1886,1886,1886-09-04,6.264172770501332,True,expected_seen,0.5192307692307693,2,0.5341919560665904,-5.0,2.0,0.2580645161290322
7P,7P/Pons-Winnecke,7P_1875,1875,1875-03-12,6.76794678289823,True,expected_seen,0.136986301369863,-5,0.0,,,0.136986301369863
7P,7P/Pons-Winnecke,7P_1869,1869,1869-06-30,2.6009768086864176,True,expected_seen,0.1951219512195122,3,0.026814764984694456,3.0,,0.0625
7P,7P/Pons-Winnecke,7P_1858,1858,1858-05-02,5.004963142321014,False,unexpected_seen,0.873015873015873,4,2.419537819144191,-5.0,-5.0,0.3636363636363636
8P,8P/Tuttle,8P_1939,1939,1939-11-10,7.949243808230415,True,expected_seen,0.1428571428571428,0,0.0,,,0.0588235294117647
8P,8P/Tuttle,8P_1926,1926,1926-04-28,9.045237822810806,True,expected_seen,0.1935483870967742,0,0.025241200861956442,0.0,,0.15
8P,8P/Tuttle,8P_1912,1912,1912-10-28,8.310959209435385,True,expected_seen,0.2238805970149253,1,0.05557341078010755,1.0,,0.1186440677966101
8P,8P/Tuttle,8P_1899,1899,1899-05-04,9.027390757421836,True,expected_seen,0.2058823529411764,-2,0.05366514359210822,-2.0,,0.2058823529411764
8P,8P/Tuttle,8P_1885,1885,1885-09-11,9.06734679236306,True,expected_seen,0.369047619047619,6,0.2795106757277812,2.0,6.0,0.1282051282051282
8P,8P/Tuttle,8P_1871,1871,1871-12-02,7.139145832305496,True,expected_seen,0.6551724137931034,3,0.8713654652070197,-2.0,0.0,0.2
8P,8P/Tuttle,8P_1858,1858,1858-02-24,7.558486700357091,False,unexpected_seen,0.52,-5,1.7228038664551826,-5.0,-5.0,0.52
9P,9P/Tempel 1,9P_1879,1879,1879-05-07,11.933997848317858,True,expected_seen,0.2647058823529412,-1,0.1971416535575096,-2.0,,0.2647058823529412
