comet_id,comet_name,designation,perihelion_date,perihelion_year,raw_status_icon,raw_aerith_status,source_url,source_row_html,in_scope
0002P,2P/Encke,2P,1868-09-15,1868,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0002P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>2P</td><td><center>1868 Sept.15</center></td></tr>",True
0002P,2P/Encke,2P,1865-05-28,1865,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0002P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>2P</td><td><center>1865 May  28</center></td></tr>",True
0002P,2P/Encke,2P,1862-02-06,1862,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0002P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>2P</td><td><center>1862 Feb.  6</center></td></tr>",True
0002P,2P/Encke,2P,1858-10-18,1858,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0002P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>2P</td><td><center>1858 Oct. 18</center></td></tr>",True
0002P,2P/Encke,2P,1855-07-01,1855,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0002P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>2P</td><td><center>1855 July  1</center></td></tr>",True
0002P,2P/Encke,2P,1852-03-15,1852,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0002P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>2P</td><td><center>1852 Mar. 15</center></td></tr>",True
0003D,3D/Biela,0003D/?,1938-12-20,1938,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0003D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1938 Dec. 20</center></td></tr>",True
0003D,3D/Biela,0003D/?,1932-05-16,1932,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0003D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1932 May  16</center></td></tr>",True
0003D,3D/Biela,0003D/?,1925-09-30,1925,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0003D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1925 Sept.30</center></td></tr>",True
0003D,3D/Biela,0003D/?,1919-02-13,1919,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0003D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1919 Feb. 13</center></td></tr>",True
0003D,3D/Biela,0003D/?,1912-07-01,1912,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0003D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1912 July  1</center></td></tr>",True
0003D,3D/Biela,0003D/?,1905-11-21,1905,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0003D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1905 Nov. 21</center></td></tr>",True
0003D,3D/Biela,0003D/?,1899-04-24,1899,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0003D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1899 Apr. 24</center></td></tr>",True
0003D,3D/Biela,0003D/?,1892-08-27,1892,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0003D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1892 Aug. 27</center></td></tr>",True
