trace_index,series,mode,time_point,value
0,P1: Comets,lines,1858-04-01T00:00:00.000000,6.25
0,P1: Comets,lines,1858-05-01T00:00:00.000000,8.714285714285714
0,P1: Comets,lines,1858-06-01T00:00:00.000000,3.5
0,P1: Comets,lines,1858-07-01T00:00:00.000000,3.0
0,P1: Comets,lines,1858-08-01T00:00:00.000000,13.545454545454545
0,P1: Comets,lines,1858-09-01T00:00:00.000000,11.254545454545454
0,P1: Comets,lines,1858-10-01T00:00:00.000000,12.373134328358208
0,P1: Comets,lines,1858-11-01T00:00:00.000000,14.6875
0,P1: Comets,lines,1858-12-01T00:00:00.000000,22.714285714285715
0,P1: Comets,lines,1859-01-01T00:00:00.000000,18.3
0,P1: Comets,lines,1859-02-01T00:00:00.000000,5.25
0,P1: Comets,lines,1859-03-01T00:00:00.000000,4.428571428571429
0,P1: Comets,lines,1859-04-01T00:00:00.000000,15.0
0,P1: Comets,lines,1859-05-01T00:00:00.000000,3.3333333333333335
0,P1: Comets,lines,1859-06-01T00:00:00.000000,5.4
0,P1: Comets,lines,1859-07-01T00:00:00.000000,7.642857142857143
0,P1: Comets,lines,1859-08-01T00:00:00.000000,6.166666666666667
0,P1: Comets,lines,1859-09-01T00:00:00.000000,6.5
0,P1: Comets,lines,1859-10-01T00:00:00.000000,5.0
0,P1: Comets,lines,1859-11-01T00:00:00.000000,15.75
0,P1: Comets,lines,1859-12-01T00:00:00.000000,6.0
0,P1: Comets,lines,1860-01-01T00:00:00.000000,15.0
0,P1: Comets,lines,1860-02-01T00:00:00.000000,10.058823529411764
0,P1: Comets,lines,1860-03-01T00:00:00.000000,7.25
0,P1: Comets,lines,1860-04-01T00:00:00.000000,5.0
0,P1: Comets,lines,1860-05-01T00:00:00.000000,2.3333333333333335
0,P1: Comets,lines,1860-06-01T00:00:00.000000,5.428571428571429
0,P1: Comets,lines,1860-07-01T00:00:00.000000,7.172413793103448
0,P1: Comets,lines,1860-08-01T00:00:00.000000,12.266666666666667
0,P1: Comets,lines,1860-09-01T00:00:00.000000,10.5
0,P1: Comets,lines,1860-10-01T00:00:00.000000,12.428571428571429
0,P1: Comets,lines,1860-11-01T00:00:00.000000,15.4
0,P1: Comets,lines,1860-12-01T00:00:00.000000,11.666666666666666
0,P1: Comets,lines,1861-01-01T00:00:00.000000,
0,P1: Comets,lines,1861-02-01T00:00:00.000000,3.6666666666666665
0,P1: Comets,lines,1861-03-01T00:00:00.000000,6.0
0,P1: Comets,lines,1861-04-01T00:00:00.000000,7.0
0,P1: Comets,lines,1861-05-01T00:00:00.000000,19.333333333333332
0,P1: Comets,lines,1861-06-01T00:00:00.000000,7.5
0,P1: Comets,lines,1861-07-01T00:00:00.000000,12.0
0,P1: Comets,lines,1861-08-01T00:00:00.000000,4.333333333333333
0,P1: Comets,lines,1861-09-01T00:00:00.000000,11.75
0,P1: Comets,lines,1861-10-01T00:00:00.000000,3.5
0,P1: Comets,lines,1861-11-01T00:00:00.000000,5.5
0,P1: Comets,lines,1861-12-01T00:00:00.000000,9.333333333333334
0,P1: Comets,lines,1862-01-01T00:00:00.000000,6.0
0,P1: Comets,lines,1862-02-01T00:00:00.000000,
0,P1: Comets,lines,1862-03-01T00:00:00.000000,5.0
0,P1: Comets,lines,1862-04-01T00:00:00.000000,
0,P1: Comets,lines,1862-05-01T00:00:00.000000,
0,P1: Comets,lines,1862-06-01T00:00:00.000000,
0,P1: Comets,lines,1862-07-01T00:00:00.000000,2.0
0,P1: Comets,lines,1862-08-01T00:00:00.000000,6.363636363636363
0,P1: Comets,lines,1862-09-01T00:00:00.000000,
0,P1: Comets,lines,1862-10-01T00:00:00.000000,4.0
0,P1: Comets,lines,1862-11-01T00:00:00.000000,3.5
0,P1: Comets,lines,1862-12-01T00:00:00.000000,
0,P1: Comets,lines,1863-01-01T00:00:00.000000,
0,P1: Comets,lines,1863-02-01T00:00:00.000000,9.5
0,P1: Comets,lines,1863-03-01T00:00:00.000000,10.0
0,P1: Comets,lines,1863-04-01T00:00:00.000000,
0,P1: Comets,lines,1863-05-01T00:00:00.000000,2.0
