trace_index,series,mode,time_point,value
0,P1: Comets2,lines,1850-01-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1850-02-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1850-03-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1850-04-01T00:00:00.000000,0.5
0,P1: Comets2,lines,1850-05-01T00:00:00.000000,0.25
0,P1: Comets2,lines,1850-06-01T00:00:00.000000,0.4166666666666667
0,P1: Comets2,lines,1850-07-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1850-08-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1850-09-01T00:00:00.000000,0.2222222222222222
0,P1: Comets2,lines,1850-10-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1850-11-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1850-12-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1851-01-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1851-02-01T00:00:00.000000,0.16666666666666666
0,P1: Comets2,lines,1851-03-01T00:00:00.000000,0.1
0,P1: Comets2,lines,1851-04-01T00:00:00.000000,0.05555555555555555
0,P1: Comets2,lines,1851-05-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1851-06-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1851-07-01T00:00:00.000000,0.08695652173913043
0,P1: Comets2,lines,1851-08-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1851-09-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1851-10-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1851-11-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1851-12-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1852-01-01T00:00:00.000000,0.3333333333333333
0,P1: Comets2,lines,1852-02-01T00:00:00.000000,0.14285714285714285
0,P1: Comets2,lines,1852-03-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1852-04-01T00:00:00.000000,0.25
0,P1: Comets2,lines,1852-05-01T00:00:00.000000,0.13043478260869565
0,P1: Comets2,lines,1852-06-01T00:00:00.000000,0.16666666666666666
0,P1: Comets2,lines,1852-07-01T00:00:00.000000,0.08333333333333333
0,P1: Comets2,lines,1852-08-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1852-09-01T00:00:00.000000,0.09090909090909091
0,P1: Comets2,lines,1852-10-01T00:00:00.000000,0.16666666666666666
0,P1: Comets2,lines,1852-11-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1852-12-01T00:00:00.000000,0.10714285714285714
0,P1: Comets2,lines,1853-01-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1853-02-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1853-03-01T00:00:00.000000,0.0
0,P1: Comets2,lines,1853-04-01T00:00:00.000000,0.16666666666666666
0,P1: Comets2,lines,1853-05-01T00:00:00.000000,0.15789473684210525
